"Region","policy_tally_SO","policy_tally_GI","all_tally"
"Midwest",7.79166666666667,3.875,11.6666666666667
"Northeast",16.4166666666667,18.5555555555556,34.9722222222222
"South",3.80882352941176,-0.352941176470588,3.45588235294118
"West",11.7291666666667,11.0208333333333,22.75
